"","terms","count","probability"
"132","night",55,0.000909963270573442
"133","thanks",55,0.000909963270573442
"134","thats",55,0.000909963270573442
"135","always",54,0.000893418483835743
"136","another",53,0.000876873697098044
"137","better",53,0.000876873697098044
"138","never",52,0.000860328910360345
"139","next",51,0.000843784123622646
"140","use",51,0.000843784123622646
"141","book",50,0.000827239336884948
"142","keep",50,0.000827239336884948
"143","own",50,0.000827239336884948
"144","again",49,0.000810694550147249
"145","lot",49,0.000810694550147249
"146","since",49,0.000810694550147249
"147","family",48,0.00079414976340955
"148","happy",48,0.00079414976340955
"149","find",47,0.000777604976671851
"150","getting",47,0.000777604976671851
"151","percent",46,0.000761060189934152
"152","does",45,0.000744515403196453
"153","until",45,0.000744515403196453
"154","house",44,0.000727970616458754
"155","says",44,0.000727970616458754
"156","show",44,0.000727970616458754
"157","thought",44,0.000727970616458754
"158","took",44,0.000727970616458754
"159","both",43,0.000711425829721055
"160","during",43,0.000711425829721055
"161","though",43,0.000711425829721055
"162","three",43,0.000711425829721055
"163","used",43,0.000711425829721055
"164","bad",42,0.000694881042983356
"165","between",42,0.000694881042983356
"166","end",42,0.000694881042983356
"167","friday",42,0.000694881042983356
"168","help",41,0.000678336256245657
"169","man",41,0.000678336256245657
"170","old",41,0.000678336256245657
"171","part",41,0.000678336256245657
"172","second",41,0.000678336256245657
"173","sure",41,0.000678336256245657
"174","came",40,0.000661791469507958
"175","didnt",40,0.000661791469507958
"176","don",40,0.000661791469507958
"177","past",40,0.000661791469507958
"178","put",40,0.000661791469507958
"179","team",40,0.000661791469507958
"180","without",40,0.000661791469507958
"181","against",39,0.000645246682770259
"182","early",39,0.000645246682770259
"183","found",39,0.000645246682770259
"184","let",39,0.000645246682770259
"185","look",39,0.000645246682770259
"186","might",39,0.000645246682770259
"187","place",39,0.000645246682770259
"188","real",39,0.000645246682770259
"189","room",39,0.000645246682770259
"190","small",39,0.000645246682770259
"191","each",38,0.00062870189603256
"192","having",38,0.00062870189603256
"193","making",38,0.00062870189603256
"194","told",38,0.00062870189603256
"195","try",38,0.00062870189603256
"196","called",37,0.000612157109294861
"197","doing",37,0.000612157109294861
"198","free",37,0.000612157109294861
"199","high",37,0.000612157109294861
"200","million",37,0.000612157109294861
"201","story",37,0.000612157109294861
"202","yes",37,0.000612157109294861
"203","away",36,0.000595612322557162
"204","change",36,0.000595612322557162
"205","days",36,0.000595612322557162
"206","give",36,0.000595612322557162
"207","makes",36,0.000595612322557162
"208","police",36,0.000595612322557162
"209","season",36,0.000595612322557162
"210","county",35,0.000579067535819463
"211","enough",35,0.000579067535819463
"212","fun",35,0.000579067535819463
"213","left",35,0.000579067535819463
"214","morning",35,0.000579067535819463
"215","same",35,0.000579067535819463
"216","set",35,0.000579067535819463
"217","thing",35,0.000579067535819463
"218","ago",34,0.000562522749081764
"219","comes",34,0.000562522749081764
"220","everything",34,0.000562522749081764
"221","god",34,0.000562522749081764
"222","head",34,0.000562522749081764
"223","ive",34,0.000562522749081764
"224","person",34,0.000562522749081764
"225","play",34,0.000562522749081764
"226","pretty",34,0.000562522749081764
"227","tell",34,0.000562522749081764
"228","together",34,0.000562522749081764
"229","using",34,0.000562522749081764
"230","went",34,0.000562522749081764
"231","add",33,0.000545977962344065
"232","believe",33,0.000545977962344065
"233","children",33,0.000545977962344065
"234","college",33,0.000545977962344065
"235","four",33,0.000545977962344065
"236","money",33,0.000545977962344065
"237","president",33,0.000545977962344065
"238","tonight",33,0.000545977962344065
"239","trying",33,0.000545977962344065
"240","food",32,0.000529433175606366
"241","ill",32,0.000529433175606366
"242","later",32,0.000529433175606366
"243","maybe",32,0.000529433175606366
"244","plan",32,0.000529433175606366
"245","program",32,0.000529433175606366
"246","someone",32,0.000529433175606366
"247","bit",31,0.000512888388868667
"248","least",31,0.000512888388868667
"249","soon",31,0.000512888388868667
"250","under",31,0.000512888388868667
"251","wait",31,0.000512888388868667
"252","weekend",31,0.000512888388868667
"253","working",31,0.000512888388868667
"254","country",30,0.000496343602130969
"255","ever",30,0.000496343602130969
"256","far",30,0.000496343602130969
"257","favorite",30,0.000496343602130969
"258","friends",30,0.000496343602130969
"259","hours",30,0.000496343602130969
"260","including",30,0.000496343602130969
"261","live",30,0.000496343602130969
"262","local",30,0.000496343602130969
"263","must",30,0.000496343602130969
"264","name",30,0.000496343602130969
"265","obama",30,0.000496343602130969
"266","once",30,0.000496343602130969
"267","point",30,0.000496343602130969
"268","public",30,0.000496343602130969
"269","read",30,0.000496343602130969
"270","times",30,0.000496343602130969
"271","able",29,0.00047979881539327
"272","bring",29,0.00047979881539327
"273","case",29,0.00047979881539327
